nr;Result
-78;176
-77;177
-76;180
-75;177
-74;176
-73;174
-72;171
-71;175
-70;180
-69;177
-68;177
-67;176
-66;176
-65;174
-64;178
-63;178
-62;181
-61;175
-60;181
-59;178
-58;180
-57;175
-56;175
-55;178
-54;174
-53;178
-52;179
-51;176
-50;176
-49;180
-48;178
-47;182
-46;176
-45;178
-44;174
-43;177
-42;178
-41;184
-40;177
-39;178
-38;178
-37;175
-36;179
-35;176
-34;179
-33;179
-32;179
-31;183
-30;179
-29;181
-28;174
-27;179
-26;180
-25;181
-24;179
-23;179
-22;182
-21;179
-20;174
-19;182
-18;179
-17;179
-16;175
-15;177
-14;175
-13;180
-12;177
-11;176
-10;176
-9;173
-8;175
-7;178
-6;176
-5;175
-4;175
-3;175
-2;180
-1;178
1;184
2;182
3;179
4;182
5;180
6;182
7;179
8;180
9;187
10;179
11;179
12;178
13;178
14;179
15;177
16;181
17;182
18;180
19;184
20;178
21;180
22;178
23;179
24;179
25;179
26;180
27;182
28;181
29;184
30;182
31;178
32;181
33;179
34;176
35;179
36;179
37;178
38;177
39;184
40;180
41;177
42;177
43;176
44;178
45;181
46;180
47;178
48;177
49;180
50;180
51;181
52;179
53;178
54;180
55;176
56;180
57;179
58;178
59;182
60;178
61;178
62;179
63;182
64;185
65;181
66;178
67;181
68;177
69;175
70;178
71;181
72;180
73;184
74;178
75;182
76;181
77;178
78;180
